Name,Atomic Number,Commonest Isotope,Abundance (%),Melting Point
Carbon,6,12,98.9,3650(g)
Nitrogen,7,14,99.6,
Oxygen,8,16,99.8,
Fluorine,9,19,100,
Neon,10,20,91,
Sodium,11,23,100,
Magnesium,12,24,78.6,649
Aluminium,13,27,100,660
Silicon,14,28,92.2,1410
Phosphorous,15,31,100,
Sulphur,16,32,95,
Chlorine,17,35,75.8,
Argon,18,40,99.6,
Potassium,19,39,93.2,
Calcium,20,40,97,839
Scandium,21,45,100,1541
Titanium,22,48,74,1660
Vanadium,23,51,99.8,1890
Chromium,24,52,83.8,1857
Manganese,25,55,100,1244
Iron,26,56,91.7,1535
Cobalt,27,59,100,1495
Nickel,28,58,67.8,1453
Copper,29,63,69.1,1083
Zinc,30,64,48.9,420
Gallium,31,69,60.5,29.8
Germanium,32,74,36.7,937
Arsenic,33,75,100,sublim
Selenium,34,80,49.8,217
Bromine,35,79,50.5,
Krypton,36,84,56.9,
Rubidium,37,85,72.2,39
Strontium,38,88,82.6,770
Yttrium,39,89,100,1522
Zirconium,40,90,51.5,1852
Niobium,41,93,100,2468
Molybdenum,42,98,23.8,2617
Techtinium,43,98,,
Ruthenium,44,102,31.6,2310
Rhodium,45,103,100,1965
Palladium,46,106,27.3,1554
Silver,47,107,51.35,962
Cadmium,48,114,28.86,321
Indium,49,115,95.8,157
Tin,50,120,33,232
Antimony,51,121,57.3,631
Tellurium,52,130,34.5,450
Iodine,53,127,100,
Xenon,54,132,26.9,
Caesium,55,133,100,28.5
Barium,56,138,71.7,
Lanthanum,57,139,99.9,921
Cerium,58,140,88.5,799
Praseodymium,59,141,100,931
Neodymium,60,142,27.1,1021
Promethium,61,146,,
Samarium,62,152,26.6,1077
Europium,63,153,52.2,822
Gadolinium,64,158,25,1313
Terbium,65,159,100,1356
Dysprosium,66,164,28.1,1412
Holmium,67,165,100,1474
Erbium,68,166,33.4,1529
Thulium,69,169,100,1545
Ytterbium,70,174,31.8,819
Lutetium,71,175,97.4,1663
Hafnium,72,180,35.2,2227
Tantalum,73,181,100,2996
Tungsten,74,184,30.6,3410
Rhenium,75,187,63,3180
Osmium,76,192,41,3045
Iridium,77,193,61.5,2410
Platinum,78,195,33.8,1772
Gold,79,197,100,1064
Mercury,80,202,29.8,-39
Thallium,81,205,70.5,304
Lead,82,208,52.3,328
Bismuth,83,209,100,271
Polonium,84,209,,
Astatine,85,210,,
Radon,86,222,,
Francium,87,212,,
Radium,88,226,,
Actinium,89,227,,
Thorium,90,232,100,1750
Protactinium,91,231,,
Uranium,92,238,99.3,1132